,Overall Acc,Model,Cost ($),Mean,SD,P95,AST Summary,Simple,Multiple,Parallel,Multiple Parallel,Exec Summary,Simple,Multiple,Parallel,Multiple Parallel,Overall Acc,Simple,Multiple,Parallel,Multiple Parallel,Overall Acc,Base,Miss Func,Miss Param,Long Context,Composite,Relevance,Irrelevance,Organization,License
55,40.69,Claude-3-Haiku-20240307 (FC tools-2024-04-04),1.11,1.52,1.35,2.33,41.67,70.67,93.5,2,0.5,47.52,92.07,92,6,0,57.66,74.03,77.15,0,4.17,21.62,30.5,8.5,24.5,23,N/A,97.56,29.37,Anthropic,Proprietary
56,40.44,xLAM-7b-fc-r (FC),N/A,N/A,N/A,N/A,74.56,74.25,92,78,54,65.75,84.5,90,66,22.5,53.44,75.58,57.28,43.75,25,0,0,0,0,0,N/A,70.73,46.05,Salesforce,cc-by-nc-4.0
57,40.37,Hammer2.0-0.5b (FC),N/A,N/A,N/A,N/A,66.79,62.17,80,67.5,57.5,70.43,53.21,86,80,62.5,52.42,48.84,44.07,62.5,41.67,0.25,0,0,0.5,0.5,N/A,85.37,64.51,MadeAgents,cc-by-nc-4.0
58,40.24,Claude-3-Haiku-20240307 (Prompt),0.59,1.09,0.66,2.03,58.21,76.83,93.5,38,24.5,57.93,89.71,96,26,20,65.04,77.13,74.64,68.75,45.83,1.75,2.5,0.5,1,3,N/A,82.93,35.27,Anthropic,Proprietary
59,38.68,Claude-3.5-Sonnet-20240620 (Prompt),7.25,2.76,1.72,6.41,60.58,50.33,88,43.5,60.5,54.2,66.79,52,38,60,54.24,65.12,22.66,37.5,33.33,0.5,1,0,0,1,N/A,19.51,91.74,Anthropic,Proprietary
60,37.57,mistral-large-2407 (Prompt),15.33,3.26,6.9,8.42,62.27,46.58,77,70,55.5,56.93,40.21,80,70,37.5,53.35,45.74,73.1,68.75,54.17,4.75,5.5,4,5.5,4,N/A,90.24,22.38,Mistral AI,Proprietary
61,37.38,Gemini-1.0-Pro-002 (FC),0.74,1.1,2.45,2.66,26.21,48.83,39,7.5,9.5,58.11,76.43,76,60,20,58.91,58.91,56.12,37.5,20.83,7.38,9,2,9.5,9,N/A,68.29,69.31,Google,Proprietary
62,37.07,Meta-Llama-3-8B-Instruct (Prompt),N/A,N/A,N/A,N/A,61.02,63.08,85.5,51.5,44,66.7,83.29,82,44,57.5,50.51,60.85,60.75,37.5,20.83,1.75,3,0,2.5,1.5,N/A,75.61,27.39,Meta,Meta Llama 3 Community
63,36.94,Gemini-1.0-Pro-002 (Prompt),1.14,1.18,2.49,2.0,56.29,42.17,51,68.5,63.5,62.39,48.57,76,70,55,45.67,41.47,36.93,68.75,33.33,6.25,5,4.5,8,7.5,N/A,80.49,55.48,Google,Proprietary
64,36.61,Nexusflow-Raven-v2 (FC),N/A,2.39,1.63,5.86,46.15,57.58,53,34.5,39.5,57.86,47.43,86,38,60,53.49,39.92,38.48,56.25,41.67,1.13,1.5,0.5,1.5,1,N/A,65.85,77.9,Nexusflow,Apache 2.0
65,32.08,Qwen2-1.5B-Instruct (Prompt),N/A,N/A,N/A,N/A,59.73,55.92,80,55.5,47.5,58.52,51.07,82,56,45,39,50.39,40.5,25,20.83,3.25,4.5,1.5,4,3,N/A,75.61,22.92,Qwen,apache-2.0
66,28.66,Llama-3.1-70B-Instruct (FC),N/A,N/A,N/A,N/A,25.15,49.58,24.5,11.5,15,31.23,53.43,34,30,7.5,44.47,48.45,52.56,31.25,25,10.25,8,11,11,11,N/A,100,43.86,Meta,Meta Llama 3 Community
67,28.4,Llama-3.1-8B-Instruct (FC),N/A,N/A,N/A,N/A,36.52,56.08,55,0,35,49.93,58.21,58,56,27.5,33.23,48.06,47.64,31.25,37.5,13.37,11,8.5,16.5,17.5,N/A,92.68,5.29,Meta,Meta Llama 3 Community
68,25.7,Mistral-Small-2402 (Prompt),2.37,1.34,0.84,2.38,16.33,10.83,36.5,11.5,6.5,9.38,13,18,4,2.5,53.98,18.22,45.9,12.5,8.33,2.12,2,1.5,2,3,N/A,41.46,81.47,Mistral AI,Proprietary
69,25.14,xLAM-1b-fc-r (FC),N/A,N/A,N/A,N/A,39.94,71.25,85.5,1.5,1.5,40.23,74.93,86,0,0,38.34,63.18,54.19,0,0,1.12,1,0.5,1.5,1.5,N/A,97.56,7.06,Salesforce,cc-by-nc-4.0
70,20.21,Gemma-2-2b-it (Prompt),N/A,N/A,N/A,N/A,12.19,7.25,41.5,0,0,12.88,5.5,46,0,0,41.63,11.24,11.96,0,0,0,0,0,0,0,N/A,12.2,79.93,Google,gemma-terms-of-use
71,17.93,Llama-3.2-1B-Instruct (Prompt),N/A,N/A,N/A,N/A,22.77,25.08,32,24,10,19.11,27.93,18,28,2.5,29.85,25.97,4.82,6.25,4.17,0,0,0,0,0,N/A,48.78,54.42,Meta,Meta Llama 3 Community
